time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-21T20:37:20.500Z,38.8183327,-122.7588348,1.17,3.37,ml,62,37,0.01489,0.08,nc,nc72653986,2016-06-21T20:40:49.776Z,"3km W of Cobb, California",earthquake,0.12,0.22,0.245,18,automatic,nc,nc
2016-06-21T20:23:49.160Z,38.8100014,-122.7403336,1.53,1.7,md,17,61,0.02576,0.04,nc,nc72653981,2016-06-21T20:42:01.146Z,"2km SW of Cobb, California",earthquake,0.23,0.47,0.22,8,automatic,nc,nc
2016-06-21T20:18:56.940Z,38.7503319,-122.7021637,1.22,1.67,md,10,154,0.01796,0.05,nc,nc72653976,2016-06-21T20:36:03.131Z,"5km ESE of The Geysers, California",earthquake,0.76,0.43,0.12,7,automatic,nc,nc
2016-06-21T20:00:27.000Z,61.3049,-152.5064,3.4,1.6,ml,,,,0.36,ak,ak13674807,2016-06-21T20:40:48.405Z,"92km N of Redoubt Volcano, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-21T19:58:13.000Z,61.2937,-152.5044,0,2,ml,,,,0.64,ak,ak13674804,2016-06-21T20:40:47.774Z,"91km N of Redoubt Volcano, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-21T19:24:12.900Z,-23.7043,-179.9106,535.07,4.7,mb,,102,5.796,0.91,us,us200065ua,2016-06-21T20:31:10.305Z,"South of the Fiji Islands",earthquake,10.8,6,0.036,239,reviewed,us,us
2016-06-21T19:18:13.460Z,-5.2212,130.6609,44.24,4.6,mb,,45,2.781,0.78,us,us200065u1,2016-06-21T19:46:26.774Z,"236km WNW of Tual, Indonesia",earthquake,7.9,7.7,0.079,48,reviewed,us,us
2016-06-21T18:55:09.840Z,33.778,-116.1393333,6.7,1.12,ml,29,77,0.07096,0.17,ci,ci37609384,2016-06-21T19:37:35.878Z,"10km NE of Indio, CA",earthquake,0.31,0.75,0.191,27,reviewed,ci,ci
2016-06-21T18:53:45.100Z,17.8579,-67.0802,6,1.6,Md,3,331.2,0.11498436,0.02,pr,pr16173007,2016-06-21T19:49:55.897Z,"13km SSW of La Parguera, Puerto Rico",earthquake,0.9,0.3,0,3,reviewed,pr,pr
2016-06-21T18:47:36.360Z,-43.7899,-16.171,10,5.2,mb,,38,24.061,0.75,us,us200065tt,2016-06-21T19:15:10.695Z,"Southern Mid-Atlantic Ridge",earthquake,12.3,1.8,0.072,64,reviewed,us,us
2016-06-21T18:42:14.490Z,33.4726667,-116.492,9.62,1.88,ml,62,23,0.07503,0.22,ci,ci37609376,2016-06-21T19:38:19.510Z,"19km ESE of Anza, CA",earthquake,0.19,0.38,0.14,26,reviewed,ci,ci
2016-06-21T18:33:19.000Z,62.1551,-150.2088,14.4,1.6,ml,,,,0.81,ak,ak13674349,2016-06-21T19:11:38.985Z,"18km W of Y, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-06-21T18:15:57.123Z,37.4791,-117.1804,4.4,2,ml,37,58.04,0.19,0.1502,nn,nn00548827,2016-06-21T18:41:39.744Z,"25km S of Goldfield, Nevada",earthquake,,1.5,0.24,13,reviewed,nn,nn
2016-06-21T18:11:38.010Z,34.078,-118.1468333,9.36,1.43,ml,30,87,0.03597,0.09,ci,ci37609352,2016-06-21T18:46:22.758Z,"3km SW of Alhambra, CA",earthquake,0.19,0.24,0.198,25,reviewed,ci,ci
2016-06-21T17:34:51.000Z,62.0756,-150.658,13.2,1.6,ml,,,,0.58,ak,ak13674341,2016-06-21T18:39:10.504Z,"39km SW of Talkeetna, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-06-21T17:16:53.000Z,56.5391,-157.9624,79.8,2.9,ml,,,,0.54,ak,ak13674195,2016-06-21T17:49:32.989Z,"58km ENE of Chignik Lake, Alaska",earthquake,1.2,1.1,,,automatic,ak,ak
2016-06-21T17:12:08.430Z,-3.462,151.8538,365.31,6.3,mwb,,12,0.787,0.99,us,us200065sc,2016-06-21T20:07:42.038Z,"68km WNW of Namatanai, Papua New Guinea",earthquake,5.1,3.5,0.063,24,reviewed,us,us
2016-06-21T17:07:45.960Z,36.5013,-98.4688,5,3,mb_lg,,52,0.166,0.51,us,us200065sb,2016-06-21T18:13:44.449Z,"18km WSW of Helena, Oklahoma",earthquake,1.4,2,0.098,27,reviewed,us,us
2016-06-21T17:07:13.410Z,33.8925,-116.8641667,13.51,1.36,ml,55,42,0.06989,0.14,ci,ci37394207,2016-06-21T20:43:12.910Z,"4km SSE of Banning, CA",earthquake,0.14,0.37,0.164,41,reviewed,ci,ci
2016-06-21T17:06:47.000Z,62.7057,-149.2677,58.3,1.6,ml,,,,0.4,ak,ak13674193,2016-06-21T17:48:16.895Z,"60km NE of Talkeetna, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-06-21T16:59:20.919Z,37.8177,-115.166,1.9,1.8,ml,15,58.95,0.421,0.1441,nn,nn00548791,2016-06-21T18:08:01.182Z,"50km N of Alamo, Nevada",earthquake,1.62,4.2,0.14,5,reviewed,nn,nn
